A     Farbig spezial kein 1.50                                1010002000000000000000000100000000000000-9999+99990000131               01000                                        9
A0    Farbig spezial Sonderfarb kein 1.50                     1010002000000000000000000100000000000000-9999+99990000133               01000                                        0
A6O   Farbig UV400 auf 1.6                    20080701        1010002000000000000000000003040000000000-9999+99990000134               01000                                        9
AD    Abweichende Dicke                                       1111000000000010000000000100000000000000-9999+99990000182               01000                                        9
ADU   Farbig spezial Duralux kein 1.50                        1010002000000000000000000100000000000000-9999+99990000132               01000                                        9
AK    Abweichende Kurve                                       0111000000000000000000000100000000000000-9999+99990000181               00000                                        0
APO   Aufpreis POL                                            0010000000000000000000000000000000000000-9999+99990000003               00000                                        0
AW    Höhere oder geringere Wirkung                           0111100000000000001000000100000000000000-9999+99990000020               00000                                        0
BA    Prismenangleich                                         1110000000000000000010000000000000000000-9999+99990000027               01000                                        0
BL    Filter Blau 10%                                         1010001000000000000000000101000000000000-9999+99990000119               01000                                        9
BN    Filter Braun 10%                                        1010001000000000000000000101000000000000-9999+99990000120               01000                                        9
BPL   Aufpreis Balance 2 zu Prot.Plus 2                       0010000000000000000000000000000000000000-9999+99990000004               00000                                        0
BR    Perfalit Brunal                                         1010001000000000000000000100000000000000-9999+99990000122               01000                                        9
BS    Mineral Brunal                                          1100001000000000000000000100000000000000-9999+99990000180               01000                                        9
BU    Solitaire Protect Balance 2             20150401        0010090011000000000000000100000000000000-9999+99990000096               01000                                        9
C     Sun Contrast                                            1010002000000000000000000100000000000000-9999+99990000144               01000                                        9
C0    Color Braun                                             1100002000000000000000000100000000000000-9999+99990000179               01000                                        9
CIP   CM IQ Sun mit Prot.Sun2 auf farbl.PrSu2                 1010000000000000000000000100000000000000-9999+99990000002               00000                                        0
CP    Colorsin Super                                          1100081000000000000000000100000000000000-9999+99990000126               01000                                        9
D65   L400/1,6                                                1010002000100000000000000100040000000000-9999+99990000146               01000                                        9
DL    Duralux                                                 1010000010000000000000000100000000000000-9999+99990000114               01000                                        9
DNE   DNEye                                                   1110000000000000000000000100000000000000-9999+99990000040               01001                                        9
E     Standard Sonnenschutz                                   0010002000000000000000000000000000000000-9999+99990000149               01000                                        9
EC    Standard Color                                          2100002000000000000000000000000000000000-9999+99990000178               01000                                        9
ER    Standard Filter                                         0010001000000000000000000001000000000000-9999+99990000148               01000                                        9
EU    Solitaire Eco 2                         20150401        1010080011000000000000000101000000000000-9999+99990000103               01000                                        9
EXT   Excellent Trifo                                         1100000000000000000000000000000000000000-9999+99990000037               00000                                        0
F     Farbig kein Duralux                                     1010002000000000000000000100000000000000-9999+99990000128               01000                                        9
F0    Farbig Sonderfarbe                                      1010002000000000000000000100000000000000-9999+99990000130               01000                                        0
F3    FogFree 3er                                             1010000000000000000000000000000000000000-9999+99990000026               00000                                        0
FD    Farbig Duralux 1.5+1.6 möglich                          1010002000000000000000000100000000000000-9999+99990000129               01000                                        9
FD5   Farbig Duralux 1.5 möglich                              1010002000000000000000000000000000000000-9999+99990000001               01000                                        0
FD6   Farbig 1.6 Duralux möglich nicht auf 1.5                1010002000000000000000000000000000000000-9999+99990000000               01000                                        0
FE    Perfalit Ferral                                         1010001000000000000000000100000000000000-9999+99990000125               01000                                        9
FF    FogFree                                 20120601        1011000000000000000000000000000000000000-9999+99990000035               01000                                        0
FH    Farbig hell kein Duralux                                0010002000000000000000000100038000000000-9999+99990000127               01000                                        9
FOR   Formranden                                              0111000000001000000000000100000000000000-9999+99990000177               01000                                        9
G     Graduell                                                1010004000000000000000000100000000000000-9999+99990000135               01000                                        9
G0    Graduell Sonderfarbe                                    1010004000000000000000000100000000000000-9999+99990000136               01000                                        0
GL    Taucherbrille                                           1100000000002000000000000000000000000000-9999+99990000082               00000                                        0
GLT   Glazing Taucherbrille                                   1110000000000000000000000000000000000000-9999+99990000036               00000                                        0
GR    Filter Grau 10%                                         1010001000000000000000000101000000000000-9999+99990000121               01000                                        9
HA    Höhenausgleichsprisma                                   1100000000000000000010000100000000000000-9999+99990000176               00000                                        0
HS    hart Super-AR                                           2010080011000000000000000000000000000000-9999+99990000107               01000                                        9
KD    Kleinerer Durchmesser                   20000101        1111000000000100000000000100000000000000-9999+99990000175               01000                                        9
KI    Kitten                                  20100401        1100000000000000000000000000000000000000-9999+99990000083               00000                                        0
L45   L400 /1,5                                               1010002000100000000000000100040000000000-9999+99990000145               01000                                        9
L66   L660                                                    0010002000100000000000000102066000000000-9999+99990000147               01000                                        9
LAA   Lentikonkav abweichender Ausschliff                     1100000000000000000000000000000000000000-9999+99990000038               00000                                        0
LP    Formlenti plan Schliff                                  1110000000000000000000000100000000000000-9999+99990000167               00000                                        0
MDM   Mittendickenminimierung                                 1110000000000020000000000100000000000000-9999+99990000174               01000                                        9
MG    Mattglas plan 65mm                                      1100000000000000000001000100000000000000-9999+99990000166               00000                                        0
MN    Multisin                                                1100050000000000000000000100000000000000-9999+99990000116               01000                                        9
MPM   Minderpreis SilverMoon 1.6 zu Protect                   1010000000000000000000000100000000000000-9999+99990000018               00000                                        0
MR    Mirror                                  20070402        0010090000010000000000000001000000000000-9999+99990000111               01000                                        0
MT    Mattieren                                               1010000000000000000001000000000000000000-9999+99990000170               00000                                        0
MZS   Minderpreis Mirror zu Sun                               0010000000000000000000000100000000000000-9999+99990000017               00000                                        0
NF    Entfernen von Beschichtungen                            1010000000000000000000100000000000000000-9999+99990000169               00000                                        0
NU    Solitaire Protect Sun 2                 20150401        0010090011000000000000000100000000000000-9999+99990000097               01000                                        9
P     Pastella                                                1010004000000000000000000100000000000000-9999+99990000137               01000                                        9
P0    Pastella Sonderfarbe                                    1010005000000000000000000100000000000000-9999+99990000139               01000                                        0
PEM   Personal EyeModel                       20110701        1110000000000000000000000100000000000000-9999+99990000064               01000                                        9
PFN   Prisma nur im Fern- oder Nahteil                        1110000000000000000000000100000000000000-9999+99990000085               00000                                        0
PN    Perfasin Mineral                                        1100020000000000000000000100000000000000-9999+99990000117               01000                                        9
PP    Perfasin                                                1010020000000000000000000100000000000000-9999+99990000101               01000                                        9
PT    Solitaire Protect                                       1010080011000000000000000101000000000000-9999+99990000093               01000                                        9
PU    Solitaire Protect 2                     20150401        1010080011000000000000000101000000000000-9999+99990000094               01000                                        9
RA    Rück-AR                                                 2010090000000000000000000000000000000000-9999+99990000109               01000                                        9
RL    Perfalit Rogal                                          1010001000000000000000000100000000000000-9999+99990000124               01000                                        9
S     Skyline                                                 1010005000000000000000000100000000000000-9999+99990000140               01000                                        9
S0    Skyline Sonderfarbe                                     1010005000000000000000000100000000000000-9999+99990000142               01000                                        0
SB    Solitaire Back                          20050501        1010090011000000000000000100000000000000-9999+99990000100               01000                                        9
SE    Solitaire Eco                           20100701        1010080011000000000000000101000000000000-9999+99990000095               01000                                        9
SF    Aufschlag Sonderfarbe                                   1010002000000000000000000100000000000000-9999+99990000150               00000                                        0
SMZ   Rodenstock Markenzeichen                20110301        1011000000000000000000000000000000000000-9999+99990000081               01000                                        9
SN    Supersin                                                1100080001000000000000000100000000000000-9999+99990000115               01000                                        9
SP    Solitaire Protect Plus                                  1010080012000000000000000101000000000000-9999+99990000092               01000                                        9
SU    Solitaire Protect Plus 2                20150401        1010080012000000000000000101000000000000-9999+99990000091               01000                                        9
SUV   Skyline UV400                           20080701        0010005000000000000000000003040000000000-9999+99990000143               01000                                        9
TH    gehärtet Sport                                          1011000010000000000000000000000000000000-9999+99990000172               01000                                        9
