AD    Ardis 1.50                              20100401        1010010011152502555830000000000010000033000000000010016                   000000
ADFZ  Ardis 1.50 FZN                          20100401        1010010011152502555830000000000010000033000000000010019                   000000
ADLT  Ardis Lenti (konkav) 1.50               20100401        1010010011152502555830000000000010000033000000000010022                   000000
ADNF  Ardis 1.50 NFN                          20100401        1010010011152502555830000000000010000033000000000010017                   000000
ADUN  Ardis 1.50 umgekehrt                    20100401        1010010011152502555830000000000010000033000000000010020                   000000
ADZF  Ardis 1.50 ZFN                          20100401        1010010011152502555830000000000010000033000000000010018                   000000
BG    Biglas 1.50                             20100401        0010010011152502555830000000000010000133000000000110993                   000000
BI    Bifolit                                                 1010010012150201325820000000000011000135000000000110714                   000000
CB    Perfalux 1.50 Colormatic SB                             0010010011152502415670000010000000000535000000000110991                   300000
COB   Cosmolit Bifo                                           1010010012150201325820100000000011000135000000000110713                   000000
COBNB Cosmolit Bifo CM IQ 1.54 brown          20120401        1010010012153801214630100010000011000140000000000110715                   300000
COBNY Cosmolit Bifo CM IQ 1.54 grey           20120401        1010010012153801214630100010000011000140000000000110716                   300000
COC   Cosmolux 1.60 Colormatic                                0010010011160402754280100010000000000135000000000110983                   000000
COE   Cosmolit 1.60                                           0010010012160001344050100000000000000138000000000110623                   000000
COEL  Cosmolit 1.60 S.Protect Stockline       20110401        0010010012159701304050108000000000000135000000000010631                   000000
COENB Cosmolit CM IQ 1.60 BN                  20110501        0010010012159701304050100010000000000140000000000111628                   000000
COENY Cosmolit CM IQ 1.60 GY                  20110501        0010010012159701304050100010000000000140000000000111629                   000000
COH   Cosmolit 1.67                                           0010010012166801373140100000000000000138000000000110622                   000000
COHL  Cosmolit 1.67 S.Protect Stockline       20110401        0010010012166811373140108000000000000135000000000010630                   000000
COHNB Cosmolit CM IQ 1.67 BN                  20110501        0010010012166801373140100010000000000140000000000111626                   000000
COHNY Cosmolit CM IQ 1.67 GY                  20110501        0010010012166801373140100010000000000140000000000111627                   000000
COI   Cosmolit 1.74                                           0010010012173701473250100000000000000100000000000110621                   000000
COS   Cosmolit 1.50                                           0010010012150201325820100000000000000135000000000110624                   000000
COX   Cosmolux 1.60                                           0010010011160402654380100000000000000133000000000110982                   000000
CS    Perfalux 1.50 Colormatic S                              0010010011152502415670000010000000000135000000000110992                   300000
DABI  Datalit Bifo                                            1010010012150201325820000000000011000135000000000110722                   000000
DINB  Dufolit CM IQ 1.54 brown                20120401        1010010012153801214630000010000011000140000000000110718                   300000
DINY  Dufolit CM IQ 1.54 grey                 20120401        1010010012153801214630000010000011000140000000000110719                   300000
EL    Excelit AS                                              1010010012150201325820000000000011000135000000000110740                   000000
EX    Excellent 1.5                           20100401        1010010011152502555830000000000010000033000000000010021                   000000
FP    Formlenti Perfalux 1.50                                 0010010011152502555830000000000010000100000000000110000                   000000
GI    Grandalit                                               1010010012150201325820000000000011000135000000000110721                   000000
GSZ   Grandasin 1.50                                          1010010011152502555830000000000011000133000000000110015                   000000
GUX   Grandalux 1.50                                          1010010011152502555830000000000011000133000000000110013                   000000
GUXCB Grandalux 1.50 Colormatic SB                            1010010011152502425620000010000010000135000000000110014                   300000
GUZ   Grandalux 1.60                          20090101        1010010011160403800267000000000011000133000000000110012                   000000
I2EG  Impr.Mono 2 1.74                        20140401        0010010012173701473250100000000011010100000000000121493                   000000
I2EH  Impr.Mono 2 1.67                        20130401        0010010012166801373140100000000011010100000000000121494                   000000
I2EHNBImpr.Mono 2 CM IQ 1.67 brown            20130401        0010010012166801373140100010000011010140000000000121496                   300000
