A           0001000000890000250000025000000890
A     I2FC  0011110000000000000000000000000000
A     I2HB  0011110000000000000000000000000000
A     I2HE  0011110000000000000000000000000000
A     I2KB  0011110000000000000000000000000000
A     I2KE  0011110000000000000000000000000000
A     I2PB  0011110000000000000000000000000000
A     I2PBXX0011110000000000000000000000000000
A     I2PE  0011110000000000000000000000000000
A     I2PEXX0011110000000000000000000000000000
A     IEHB  0011110000000000000000000000000000
A     IEHE  0011110000000000000000000000000000
A     IEKB  0011110000000000000000000000000000
A     IEKC  0011110000000000000000000000000000
A     IEKE  0011110000000000000000000000000000
A     IPKB  0011110000000000000000000000000000
A     IPKE  0011110000000000000000000000000000
A     IPPB  0011110000000000000000000000000000
A     IPPBXX0011110000000000000000000000000000
A     IPPE  0011110000000000000000000000000000
A     IPPEXX0011110000000000000000000000000000
A0          0001000001980000450000045000001980
A0    I2FC  0011110000890000200000020000000890
A0    I2HB  0011110000890000200000020000000890
A0    I2HE  0011110000890000200000020000000890
A0    I2KB  0011110000890000200000020000000890
A0    I2KE  0011110000890000200000020000000890
A0    I2PB  0011110000890000200000020000000890
A0    I2PBXX0011110000890000200000020000000890
A0    I2PE  0011110000890000200000020000000890
A0    I2PEXX0011110000890000200000020000000890
A0    IEHB  0011110000890000200000020000000890
A0    IEHE  0011110000890000200000020000000890
A0    IEKB  0011110000890000200000020000000890
A0    IEKE  0011110000890000200000020000000890
A0    IPKB  0011110000890000200000020000000890
A0    IPKE  0011110000890000200000020000000890
A0    IPPB  0011110000890000200000020000000890
A0    IPPBXX0011110000890000200000020000000890
A0    IPPE  0011110000890000200000020000000890
A0    IPPEXX0011110000890000200000020000000890
A6O         0001000000890000250000025000000890
A6O   I2FC  0011110000000000000000000000000000
A6O   I2KB  0011110000000000000000000000000000
A6O   I2KE  0011110000000000000000000000000000
A6O   IEKB  0011110000000000000000000000000000
A6O   IEKE  0011110000000000000000000000000000
AD          0011100001100000310000031000001100
ADU         0001000000890000250000025000000890
ADU   I2FC  0011110000000000000000000000000000
ADU   I2HB  0011110000000000000000000000000000
ADU   I2HE  0011110000000000000000000000000000
ADU   I2KB  0011110000000000000000000000000000
ADU   I2KE  0011110000000000000000000000000000
ADU   I2PB  0011110000000000000000000000000000
ADU   I2PBXX0011110000000000000000000000000000
ADU   I2PE  0011110000000000000000000000000000
ADU   I2PEXX0011110000000000000000000000000000
ADU   IEHB  0011110000000000000000000000000000
ADU   IEHE  0011110000000000000000000000000000
ADU   IEKB  0011110000000000000000000000000000
ADU   IEKE  0011110000000000000000000000000000
ADU   IPKB  0011110000000000000000000000000000
ADU   IPKE  0011110000000000000000000000000000
AK          0011100001950000550000055000001950
AK    I2FC  0011110000000000000000000000000000
AK    I2FCNB0011110000000000000000000000000000
AK    I2FCNG0011110000000000000000000000000000
AK    I2FCNN0011110000000000000000000000000000
AK    I2FCNO0011110000000000000000000000000000
AK    I2FCNY0011110000000000000000000000000000
AK    I2HE  0011110000000000000000000000000000
AK    I2HENB0011110000000000000000000000000000
AK    I2HENY0011110000000000000000000000000000
AK    I2KE  0011110000000000000000000000000000
AK    I2KENB0011110000000000000000000000000000
AK    I2KENG0011110000000000000000000000000000
AK    I2KENN0011110000000000000000000000000000
AK    I2KENO0011110000000000000000000000000000
AK    I2KENY0011110000000000000000000000000000
AK    I2PE  0011110000000000000000000000000000
AK    I2PEXX0011110000000000000000000000000000
AK    IEHE  0011110000000000000000000000000000
AK    IEHENB0011110000000000000000000000000000
AK    IEHENY0011110000000000000000000000000000
AK    IEKE  0011110000000000000000000000000000
AK    IEKENB0011110000000000000000000000000000
AK    IEKENG0011110000000000000000000000000000
AK    IEKENN0011110000000000000000000000000000
AK    IEKENO0011110000000000000000000000000000
AK    IEKENY0011110000000000000000000000000000
AW          0011110001790000430000043000001790
BA          0011110000000000000000000000000000
BL          0001000000890000250000025000000890
BL    I2FC  0011110000000000000000000000000000
BL    I2HB  0011110000000000000000000000000000
BL    I2HE  0011110000000000000000000000000000
BL    I2KB  0011110000000000000000000000000000
BL    I2KE  0011110000000000000000000000000000
BL    I2PB  0011110000000000000000000000000000
BL    I2PBXX0011110000000000000000000000000000
BL    I2PE  0011110000000000000000000000000000
BL    I2PEXX0011110000000000000000000000000000
BL    IEHB  0011110000000000000000000000000000
BL    IEHE  0011110000000000000000000000000000
BL    IEKB  0011110000000000000000000000000000
BL    IEKE  0011110000000000000000000000000000
BL    IPKB  0011110000000000000000000000000000
BL    IPKE  0011110000000000000000000000000000
BL    IPPB  0011110000000000000000000000000000
BL    IPPBXX0011110000000000000000000000000000
BL    IPPE  0011110000000000000000000000000000
BL    IPPEXX0011110000000000000000000000000000
BN          0001000000890000250000025000000890
BN    I2FC  0011110000000000000000000000000000
BN    I2HB  0011110000000000000000000000000000
BN    I2HE  0011110000000000000000000000000000
BN    I2KB  0011110000000000000000000000000000
BN    I2KE  0011110000000000000000000000000000
BN    I2PB  0011110000000000000000000000000000
BN    I2PBXX0011110000000000000000000000000000
BN    I2PE  0011110000000000000000000000000000
BN    I2PEXX0011110000000000000000000000000000
BN    IEHB  0011110000000000000000000000000000
BN    IEHE  0011110000000000000000000000000000
BN    IEKB  0011110000000000000000000000000000
BN    IEKE  0011110000000000000000000000000000
BN    IPKB  0011110000000000000000000000000000
